time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.37286e-314	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.525474	0.58034	8.52927	6.28319	0	radar	185.597	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.966358	0.58034	8.82549	6.28319	-2.94168e-07	lidar	2.48436	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.14593	0.580223	5.61692	6.28276	-0.00637814	radar	20.2458	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.44312	0.580041	5.71842	6.28241	-0.00672086	lidar	2.15302	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.72129	0.57928	5.61079	6.281	-0.0140767	radar	1.16078	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.01965	0.578697	5.68229	6.28055	-0.012809	lidar	1.6246	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.2593	0.579802	5.36959	6.28258	-0.00162415	radar	2.68715	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.54227	0.580893	5.4146	6.28414	0.00451267	lidar	0.967118	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.80667	0.584558	5.34869	6.28817	0.0169537	radar	0.411356	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.06581	0.588647	5.32619	6.29176	0.0252218	lidar	0.25688	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.34094	0.570653	5.30532	6.274	-0.026532	radar	2.03863	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.64726	0.54118	5.41121	6.24958	-0.0843071	lidar	5.76247	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.93015	0.556851	5.47531	6.26547	-0.0380205	radar	1.79435	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.21922	0.555588	5.5095	6.26637	-0.0323207	lidar	0.451173	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.47762	0.577051	5.31118	6.28241	0.00246656	radar	1.35194	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.68063	0.646198	5.16437	6.32853	0.093578	lidar	9.35106	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.9315	0.653592	4.99477	6.33005	0.0867708	radar	1.36656	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.23419	0.65965	5.10617	6.32962	0.0763892	lidar	4.29095	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.49711	0.671306	5.28892	6.33305	0.0768115	radar	1.36436	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.80257	0.68912	5.37367	6.33818	0.0776503	lidar	2.56801	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.04133	0.640359	5.09059	6.30543	0.0134952	radar	3.84895	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.30039	0.729701	5.10139	6.35428	0.0954523	lidar	3.03692	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.55145	0.762406	5.05437	6.36722	0.109121	radar	0.231234	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.80013	0.764038	5.04767	6.36114	0.0898914	lidar	0.172473	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.04164	0.755759	4.83379	6.34941	0.0620955	radar	1.89473	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.25618	0.829701	4.78825	6.38737	0.120044	lidar	1.81465	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.55706	0.84673	5.22319	6.38479	0.105306	radar	5.40124	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.81665	0.825131	5.21612	6.36137	0.0587752	lidar	0.734346	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.06465	0.84511	4.96721	6.36408	0.0574624	radar	2.29132	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.30145	0.858191	4.9464	6.36324	0.0516933	lidar	0.171172	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.57509	0.952157	5.32077	6.40868	0.120406	radar	5.74512	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.82172	1.00949	5.29254	6.42947	0.143884	lidar	0.41783	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.11401	1.05322	5.31532	6.43726	0.144465	radar	6.90696	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.35677	1.08107	5.27477	6.43782	0.134417	lidar	0.603399	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.63741	1.16296	5.33924	6.4664	0.16803	radar	4.1181	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91821	1.29508	5.40389	6.52037	0.237621	lidar	2.4297	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.162	1.39516	5.11301	6.55678	0.27868	radar	4.25694	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3806	1.46768	5.06403	6.57426	0.284465	lidar	0.923856	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6097	1.55418	4.83794	6.59957	0.304319	radar	2.09728	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8255	1.56806	4.77399	6.58092	0.253692	lidar	1.36384	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0965	1.62246	5.0457	6.57619	0.224794	radar	2.8867	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3815	1.65856	5.10368	6.56045	0.184178	lidar	2.44376	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6114	1.71258	4.98707	6.56271	0.17453	radar	0.636304	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8391	1.77088	4.95928	6.56634	0.166888	lidar	0.231428	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.0979	1.86844	5.19598	6.58574	0.181488	radar	1.32211	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3467	1.88497	5.15849	6.55967	0.129101	lidar	0.760256	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6045	1.9453	5.27521	6.55768	0.115281	radar	0.472986	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8064	2.08905	5.22674	6.61023	0.184485	lidar	3.12277	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0751	2.20888	5.43413	6.63399	0.203823	radar	2.21175	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2833	2.35461	5.38819	6.67874	0.254884	lidar	2.3444	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4528	2.50964	4.96585	6.73679	0.330382	radar	10.3674	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7019	2.61492	5.01051	6.74608	0.319739	lidar	0.965517	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9211	2.72946	5.01289	6.76303	0.320952	radar	0.0940087	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
